"Model"	"train"	"test"
"100-10-5-10-100"	"66.6670506204347"	"66.6606633036143"
"100-10-5-10-20"	"67.1548220580131"	"67.3203304117467"
"100-10-5-10-50"	"66.7875092808378"	"66.7417363180088"
"100-10-5-100-1000"	"66.3636968043366"	"66.4548839725666"
"100-10-5-100-200"	"66.3574923180099"	"66.5449810411372"
"100-10-5-100-500"	"66.3562060715619"	"66.4091825409013"
"100-10-6-100-1000"	"65.8771416427033"	"65.9404378609059"
"100-10-6-100-200"	"65.895539114959"	"66.1002349575029"
"100-10-6-100-500"	"65.4408288017724"	"65.5628047151999"
"100-10-6-50-100"	"65.457470278944"	"65.6786725491075"
"100-10-6-50-250"	"66.2391127257349"	"66.3887314576116"
"100-10-6-50-500"	"65.563440821381"	"65.6592633804492"
"20-10-5-10-100"	"66.7357814793122"	"66.8177745363243"
"20-10-5-10-20"	"76.8625101562262"	"76.7689776375032"
"20-10-5-10-50"	"66.2406120915109"	"66.3657618107481"
"20-10-5-100-1000"	"65.8575468548795"	"65.7586544010204"
"20-10-5-100-200"	"65.9058205395211"	"65.958189751177"
"20-10-5-100-500"	"65.9453589733555"	"65.8984296071611"
"20-10-6-100-1000"	"65.0437573577776"	"65.1944184082806"
"20-10-6-100-200"	"66.1400412007025"	"66.1093176378783"
"20-10-6-100-500"	"65.7445656171638"	"65.9234364559806"
"20-10-6-50-100"	"65.5877572449176"	"65.7018286937412"
"20-10-6-50-250"	"66.2268011498076"	"66.3579590350586"
"20-10-6-50-500"	"65.8325712001916"	"65.9936384950354"
"50-10-5-10-100"	"76.78828670006"	"76.6881736318762"
"50-10-5-10-20"	"76.8625034056872"	"76.7689705425146"
"50-10-5-10-50"	"66.7563803263435"	"66.8828894568376"
"50-10-5-100-1000"	"65.8012598794525"	"65.9673900776938"
"50-10-5-100-200"	"66.9245091147542"	"67.0392549849842"
"50-10-5-100-500"	"67.1095357349022"	"67.1240432470046"
"50-10-6-100-1000"	"65.2642291030528"	"65.3695483626134"
"50-10-6-100-200"	"66.6174001441745"	"66.6292700262196"
"50-10-6-100-500"	"66.0795540555731"	"66.2053412580569"
"50-10-6-50-100"	"66.1314498329731"	"66.4353041674266"
"50-10-6-50-250"	"65.6260837263221"	"65.8042413475093"
"50-10-6-50-500"	"65.8290601942403"	"65.8975386167374"
