"Model"	"train_mse"	"test_mse"	"n_iter"	"train_smape"	"test_smape"
"10-6-50"	0.00375426661899	0.00387517176677	12865	70.2877245525226	70.2348322594982
"10-6-100"	0.00366356420813	0.00377330735629	15830	71.2748000092582	71.2138815540586
"100-10-5-100"	0.0204072163238	0.0216354139322	15533	71.8683355251723	71.7176886282472
"100-10-6-50"	0.0209424934995	0.0221017559037	10150	71.743893269158	71.9221732350272
"100-10-6-100"	0.0199327181034	0.0239528396102	6274	76.5003773582449	76.5507584712165
"50-10-6-100"	0.0104058794786	0.0115148548925	8553	71.165778100002	71.1489641121337
"20-10-6-50"	0.00558785147723	0.00573368313354	13106	69.6619928632877	69.7283026173168
"20-10-5-100-200"	0.00654886984453	0.00705008427937	19439	76.8428176187735	76.7478629274688
"20-10-5-100-500"	0.00669218658878	0.00710501238097	14013	76.8437716280533	76.748739983018
"100-10-6-100-500"	0.0210206008149	0.021786618354	8768	76.8199751423741	76.7226821221905
"100-10-6-50-500"	0.0219642291422	0.0252906396119	1152	76.6812921868968	76.5748836999809
"50-10-6-50-500"	0.0120302774508	0.0127537516054	18934	76.8275565598954	76.7306685443286
"20-10-6-100-1000"	0.00642742444677	0.0065821919417	17270	76.8540441907535	76.7601224661262
"50-10-6-100-500"	0.0122434551551	0.012376704851	19057	76.846744737094	76.7522500279538
"20-10-6-50-500"	0.00658276414747	0.00676819438461	9802	76.7848647596534	76.6843725222448
"20-10-6-100-500"	0.00619403047351	0.0072292132628	4440	76.7852175216196	76.684822711052
"20-10-6-100-200"	0.00624559290757	0.00717375461272	5721	76.807195342595	76.7087635713864
"50-10-6-100-1000"	0.011735218226	0.0133830913581	17011	76.8500794886896	76.7557952972346
"50-10-6-50-250"	0.0124425899588	0.0122782690321	4094	76.7547745404954	76.6528863518761
"10-5-100-1000"	0.00458289196521	0.00519438544505	5217	76.7944298621059	76.6946360859024
"10-5-100-500"	0.00490421420134	0.00508173086659	5949	76.8013289063957	76.7021312358326
"10-6-100-500"	0.00441657583318	0.00445958075742	11505	76.8266136950708	76.7300578237652
"10-6-100-1000"	0.00465468099853	0.00550569706531	10378	76.8287475957159	76.7323013729367
"10-6-50-250"	0.00466025536262	0.00458652046401	7521	76.7819897410153	76.6817237482445
"10-6-100-200"	0.00477455236958	0.00451724755599	17374	76.8438624037072	76.7492464157947
